Claim_ID,Status,Timestamp,Food_Name,Food_Type,Meal_Type,Quantity,Expiry_Date,Provider_Name,Provider_Type,Provider_City,Provider_Contact,Receiver_Name,Receiver_Type,Receiver_City
804,Cancelled,2025-03-21 06:12:00,Salad,Vegan,Lunch,43,2025-03-16,Hampton-Lee,Supermarket,Jonathanhaven,663-119-2623x961,Lauren Golden,NGO,Michealstad
423,Pending,2025-03-21 05:41:00,Vegetables,Non-Vegetarian,Snacks,35,2025-03-22,Bowman LLC,Restaurant,Port Karen,(890)877-4218x852,Barbara Velasquez,Charity,Priceborough
535,Completed,2025-03-21 05:22:00,Dairy,Vegan,Snacks,42,2025-03-24,Nelson LLC,Restaurant,Lake Andrewmouth,+1-859-029-3911x34890,Christine Patterson,Individual,Edwardfort
479,Pending,2025-03-21 05:08:00,Vegetables,Vegetarian,Dinner,33,2025-03-16,Yoder-Murray,Catering Service,Port Emilyburgh,001-593-330-4216x5945,Victor Diaz,Shelter,Darinview
471,Cancelled,2025-03-21 04:51:00,Pasta,Vegan,Breakfast,39,2025-03-17,"Pierce, Walsh and Rogers",Grocery Store,Deborahland,+1-065-024-5251x529,Jennifer Schmidt,Individual,South Michelleshire
26,Cancelled,2025-03-21 04:34:00,Pasta,Vegan,Breakfast,26,2025-03-18,Todd Group,Catering Service,Port Patrick,236.722.8623,Alicia Porter,Charity,Port Ericmouth
466,Pending,2025-03-21 04:34:00,Salad,Non-Vegetarian,Dinner,32,2025-03-16,"Giles, Weiss and Brown",Catering Service,Wilsonview,6766883967,Derrick Curtis,NGO,Stephaniechester
338,Pending,2025-03-21 04:08:00,Bread,Vegetarian,Breakfast,38,2025-03-23,Lewis-Deleon,Catering Service,West Karen,399-298-6885x917,Kristina Simpson,NGO,Melissaport
185,Pending,2025-03-21 04:05:00,Chicken,Vegan,Snacks,9,2025-03-25,"Phelps, Graham and Hayes",Catering Service,Timothychester,(512)814-0594x96653,Mark Lewis,NGO,Lisaview
601,Completed,2025-03-21 03:54:00,Rice,Vegan,Dinner,46,2025-03-25,"Hunter, Ballard and Caldwell",Catering Service,Leslieville,001-594-592-2116x9925,Michael Vargas,Charity,East Andrewhaven
626,Pending,2025-03-21 02:42:00,Chicken,Vegan,Lunch,27,2025-03-21,"Davis, Cruz and Schaefer",Restaurant,Lake George,4142908031,Justin Lopez,Individual,East Stephenton
172,Cancelled,2025-03-21 02:08:00,Rice,Non-Vegetarian,Snacks,26,2025-03-22,Aguilar-Frederick,Restaurant,Michaelport,+1-057-752-7548,Kristin Scott,Shelter,North Christina
80,Pending,2025-03-21 01:58:00,Fish,Vegetarian,Breakfast,20,2025-03-21,"Ballard, Stanley and Hill",Restaurant,Port Andrea,409.995.2073x69158,James Castaneda,Shelter,South Rachaelhaven
714,Pending,2025-03-21 01:57:00,Vegetables,Vegan,Lunch,20,2025-03-16,Evans-Harrison,Supermarket,Lake Joseph,066.832.7189x65581,Christine Bell,Individual,South Edwardburgh
3,Completed,2025-03-21 00:59:00,Salad,Non-Vegetarian,Breakfast,37,2025-03-29,Shields-Moore,Supermarket,New Dawnborough,9332911651,Julie Lewis,NGO,South Steven
654,Pending,2025-03-21 00:56:00,Salad,Vegetarian,Breakfast,12,2025-03-19,Crane LLC,Catering Service,Lindseybury,001-004-545-5901x1754,Gregory Murphy,Individual,South Ashley
107,Completed,2025-03-21 00:40:00,Chicken,Vegan,Lunch,44,2025-03-21,Barry Group,Restaurant,South Kathryn,+1-533-592-0009x5523,Nathan Gonzales,Charity,East Daniel
393,Pending,2025-03-21 00:15:00,Soup,Non-Vegetarian,Lunch,19,2025-03-27,Holland and Sons,Catering Service,New Richard,184-401-2586x9344,Kiara Martinez,Individual,Ellisborough
514,Cancelled,2025-03-21 00:05:00,Vegetables,Vegan,Snacks,23,2025-03-17,Rogers-Maldonado,Catering Service,Mortonfort,343-728-0009x45256,Robin Ross,Individual,East Williamborough
909,Completed,2025-03-20 23:39:00,Salad,Vegan,Lunch,3,2025-03-28,"Fisher, Hernandez and Webster",Grocery Store,South Lisaberg,871-801-8397x99626,Michael Curtis,Shelter,Alexanderbury
450,Cancelled,2025-03-20 20:03:00,Bread,Vegan,Lunch,18,2025-03-19,Owens-Taylor,Restaurant,Bartonborough,+1-977-169-9906x1607,Margaret Mccullough,Charity,Ortizmouth
225,Cancelled,2025-03-20 20:00:00,Soup,Vegetarian,Lunch,42,2025-03-23,"Webb, Phillips and Garcia",Supermarket,Bradleyport,001-401-943-3400,Kristopher Mendoza,Individual,Bradfurt
642,Pending,2025-03-20 19:57:00,Soup,Vegetarian,Breakfast,14,2025-03-16,Williams Inc,Supermarket,Latoyaberg,(031)347-8261,Walter Myers,Individual,New Tina
196,Completed,2025-03-20 19:37:00,Soup,Vegetarian,Snacks,13,2025-03-17,Smith-Morales,Grocery Store,West Miaside,481.162.2452x4959,Ernest Cox,Shelter,Christinaland
920,Cancelled,2025-03-20 16:37:00,Chicken,Non-Vegetarian,Lunch,3,2025-03-25,"Bender, Jordan and Bennett",Supermarket,Lake Alicia,001-194-509-7599x83421,Linda Banks,Individual,New Sarahmouth
912,Completed,2025-03-20 15:37:00,Soup,Vegetarian,Dinner,28,2025-03-18,Hancock-Jackson,Supermarket,Shortfurt,001-769-864-0777x950,Stephen Smith,Individual,Maxberg
496,Pending,2025-03-20 15:31:00,Fruits,Vegetarian,Lunch,19,2025-03-30,"Snyder, Caldwell and Campbell",Supermarket,Muellermouth,001-204-401-6159x495,Marissa Fischer,Shelter,New Kevin
